"id";"user_id";"context_id";"gesture_id";"gesture_confirmation_id";"latitude";"longitude";"title";"snippet";"country";"city";"locality";"timestamp"
"1";"3";"1";"1";"1";"35.6935388";"139.7577386";"Feeling HAPPY";"25-03-2015, 2:34 PM";"Japan";"Tokyo";"Chiyoda";"1427261644714"
"2";"1";"1";"2";"1";"35.6934134";"139.7577214";"Feeling HAPPY";"25-03-2015, 2:53 PM";"Japan";"Tokyo";"Chiyoda";"1427262826347"
"3";"5";"1";"2";"1";"48.1533308";"11.5561028";"Feeling HAPPY";"25-03-2015, 12:04 pm";"Germany";NULL;"Munich";"1427281467935"
"4";"7";"1";"3";"3";"35.6997028";"139.6005349";"?????";"25-03-2015, 8:17 ??";"??";"???";"???";"1427282246540"
"5";"9";"1";"2";"2";"36.5519778";"136.6351531";"????";"25-03-2015, 8:28 ??";"??";"???";"???";"1427282938018"
"6";"10";"1";"1";"1";"36.5517724";"136.6354195";"???";"25-03-2015, 8:34 ??";"??";"???";"???";"1427283247217"
"7";"12";"1";"1";"1";"35.661229";"139.710136";"???";"25-03-2015, 9:20 ??";"??";"???";"???";"1427286008066"
"8";"15";"1";"1";"1";"35.6949984";"139.6913981";"???";"25-03-2015, 9:37 ??";NULL;NULL;NULL;"1427287023153"
"9";"16";"1";"1";"1";"35.7798137";"139.601779";"???";"25-03-2015, 9:40 ??";"??";"???";"???";"1427287227751"
"10";"19";"1";"1";"3";"33.3870169";"130.515917";"?????";"25-03-2015, 11:05 ??";"??";"???";"???";"1427292359680"
"11";"20";"1";"1";"1";"34.6330379";"135.6234653";"???";"25-03-2015, 11:09 ??";"??";"???";"???";"1427292586346"
"12";"23";"1";"2";"2";"34.6891698";"135.7848409";"????";"26-03-2015, 12:18 AM";NULL;NULL;NULL;"1427296730187"
"13";"24";"1";"1";"1";"35.7961602";"139.9154973";"???";"26-03-2015, 12:41 ??";"??";"???";"???";"1427298068512"
"14";"24";"1";"1";"1";"35.7961602";"139.9154973";"???";"26-03-2015, 12:41 ??";"??";"???";"???";"1427298068512"
"15";"26";"1";"2";"2";"34.6860256";"135.5147514";"????";"26-03-2015, 1:23 ??";"??";"???";"???";"1427300612450"
"16";"28";"1";"2";"2";"34.7111994";"135.5112629";"????";"26-03-2015, 2:04 ??";"??";"???";"???";"1427303053457"
"17";"30";"1";"2";"2";"35.4786704";"139.6336217";"????";"26-03-2015, 4:43 AM";"??";"????";"???";"1427312614383"
"18";"31";"1";"1";"1";"38.7620908";"-9.1207865";"Feeling HAPPY";"25-03-2015, 9:36 PM";NULL;NULL;NULL;"1427319391777"
"19";"15";"1";"1";"1";"35.6841081";"139.6578648";"???";"26-03-2015, 7:25 ??";NULL;NULL;NULL;"1427322353059"
"20";"15";"1";"1";"1";"35.6841081";"139.6578648";"???";"26-03-2015, 7:25 ??";NULL;NULL;NULL;"1427322353059"
"21";"15";"1";"2";"2";"35.6877603";"139.6632342";"????";"26-03-2015, 7:27 ??";NULL;NULL;NULL;"1427322457924"
"22";"20";"1";"1";"1";"34.6341896";"135.596411";"???";"26-03-2015, 7:57 ??";"??";"???";"???";"1427324270965"
"23";"33";"1";"2";"2";"33.2091572";"130.4638846";"????";"26-03-2015, 7:58 ??";"??";"???";"???";"1427324310580"
"24";"33";"1";"2";"2";"33.2096336";"130.4533006";"????";"26-03-2015, 8:00 ??";"??";"???";"???";"1427324418121"
"25";"33";"1";"2";"2";"33.2096336";"130.4533006";"????";"26-03-2015, 8:00 ??";"??";"???";"???";"1427324418121"
"26";"33";"1";"1";"1";"33.2098838";"130.4513904";"???";"26-03-2015, 8:00 ??";"??";"???";"???";"1427324435281"
"27";"32";"1";"1";"1";"35.6689082";"139.6797438";"???";"26-03-2015, 8:19 ??";"??";"???";"???";"1427325582810"
"28";"22";"1";"1";"1";"35.6984213";"139.7730357";"???";"26-03-2015, 8:22 ??";"??";"???";"????";"1427325733476"
"29";"22";"1";"1";"1";"35.6984213";"139.7730357";"???";"26-03-2015, 8:22 ??";"??";"???";"????";"1427325733476"
"30";"22";"1";"1";"1";"35.6979096";"139.7769021";"???";"26-03-2015, 8:22 ??";"??";"???";"????";"1427325761951"
"31";"35";"1";"2";"1";"34.6889462";"135.783732";"???";"26-03-2015, 10:03 AM";NULL;NULL;NULL;"1427331829588"
"32";"35";"1";"1";"1";"34.6891591";"135.7848552";"???";"26-03-2015, 10:09 AM";NULL;NULL;NULL;"1427332146541"
"33";"12";"1";"2";"2";"35.690632";"139.700508";"????";"26-03-2015, 10:15 ??";"??";"???";"???";"1427332503198"
"34";"36";"1";"2";"2";"34.3856279";"132.358326";"????";"26-03-2015, 10:34 ??";"??";"???";"???";"1427333666334"
"35";"37";"1";"1";"1";"35.6914998";"139.77955";"???";"26-03-2015, 10:56 ??";NULL;NULL;NULL;"1427335009407"
"36";"38";"1";"2";"2";"36.1959383";"137.8948036";"????";"26-03-2015, 11:24 ??";NULL;NULL;NULL;"1427336663184"
"37";"40";"1";"1";"1";"31.917687";"131.4071381";"???";"26-03-2015, 12:03 ??";"??";"???";"???";"1427339010184"
"38";"32";"1";"2";"2";"35.4054826";"139.3942682";"????";"26-03-2015, 12:03 ??";"??";"????";"????";"1427339013238"
