row.names,id,user_id,context_id,gesture_id,gesture_confirmation_id,latitude,longitude,title,snippet,country,city,locality,timestamp
695,696,217,1,1,1,35.69348,139.7578,Feeling HAPPY,"08-07-2015, 4:22 PM",NULL,NULL,NULL,1436340000000
696,697,219,1,2,2,35.76796,139.7892,Feeling OKAY,"08-07-2015, 8:09 PM",NULL,NULL,NULL,1436354000000
697,698,220,1,1,1,35.36455,135.2459,???,"08-07-2015, 8:19 ??",NULL,NULL,NULL,1436354000000
698,699,222,1,1,2,35.15232,136.9435,????,"08-07-2015, 8:35 ??",NULL,NULL,NULL,1436355000000
699,700,223,1,2,2,36.0545,139.5379,????,"08-07-2015, 8:35 ??",NULL,NULL,NULL,1436355000000
700,701,219,1,2,2,35.76935,139.7895,Feeling OKAY,"08-07-2015, 8:36 PM",NULL,NULL,NULL,1436355000000
701,702,218,1,1,1,35.69618,139.7607,Feeling HAPPY,"08-07-2015, 8:44 PM",NULL,NULL,NULL,1436356000000
702,703,102,1,1,1,35.65012,140.0341,???,"08-07-2015, 8:46 ??",NULL,NULL,NULL,1436356000000
703,704,224,1,2,2,35.69618,139.7608,Feeling OKAY,"08-07-2015, 8:48 PM",NULL,NULL,NULL,1436356000000
704,705,226,1,1,1,35.68418,139.8453,???,"08-07-2015, 8:50 ??",NULL,NULL,NULL,1436356000000
705,706,227,1,2,2,33.57927,130.3887,????,"08-07-2015, 8:52 ??",NULL,NULL,NULL,1436356000000
706,707,228,1,1,1,35.66302,140.0415,???,"08-07-2015, 8:56 ??",NULL,NULL,NULL,1436357000000
707,708,229,1,2,2,40.6367,140.4944,????,"08-07-2015, 8:58 ??",NULL,NULL,NULL,1436357000000
708,709,232,1,3,1,33.40347,130.5157,???,"08-07-2015, 9:31 ??",NULL,NULL,NULL,1436359000000
709,710,233,1,1,1,35.56887,139.6306,???,"08-07-2015, 9:41 ??",NULL,NULL,NULL,1436359000000
710,711,235,1,1,3,35.02906,136.6791,?????,"08-07-2015, 10:09 ??",NULL,NULL,NULL,1436361000000
711,712,166,1,1,1,36.66288,139.0846,???,"08-07-2015, 10:13 PM",NULL,NULL,NULL,1436361000000
712,713,236,1,1,3,36.01573,139.659,?????,"08-07-2015, 10:15 ??",NULL,NULL,NULL,1436361000000
713,714,237,1,2,2,34.7111,135.5114,????,"08-07-2015, 10:38 ??",NULL,NULL,NULL,1436363000000
714,715,238,1,2,2,33.17579,129.6647,????,"08-07-2015, 11:00 ??",NULL,NULL,NULL,1436364000000
715,716,239,1,2,2,35.66193,139.7923,????,"08-07-2015, 11:14 ??",NULL,NULL,NULL,1436365000000
716,717,240,1,2,2,35.71315,139.7041,????,"08-07-2015, 11:17 ??",NULL,NULL,NULL,1436365000000
717,718,241,1,2,2,35.79635,139.9155,????,"08-07-2015, 11:23 ??",NULL,NULL,NULL,1436365000000
718,719,243,1,1,1,26.25237,127.7575,???,"09-07-2015, 12:25 ??",NULL,NULL,NULL,1436369000000
719,720,244,1,2,2,35.57654,139.5938,????,"09-07-2015, 12:27 ??",NULL,NULL,NULL,1436369000000
720,721,243,1,1,1,26.25359,127.7561,???,"09-07-2015, 12:27 ??",NULL,NULL,NULL,1436369000000
721,722,219,1,2,2,35.76796,139.7892,Feeling OKAY,"09-07-2015, 12:38 AM",NULL,NULL,NULL,1436370000000
722,723,222,1,2,2,35.15367,136.9433,????,"09-07-2015, 12:40 ??",NULL,NULL,NULL,1436370000000
723,724,219,1,2,2,35.76707,139.7889,Feeling OKAY,"09-07-2015, 12:41 AM",NULL,NULL,NULL,1436370000000
724,726,222,1,2,2,35.15232,136.9436,????,"09-07-2015, 12:51 ??",NULL,NULL,NULL,1436371000000
725,727,246,1,2,1,33.53921,133.5038,???,"09-07-2015, 12:51 ??",NULL,NULL,NULL,1436371000000
726,728,247,1,1,1,26.25283,127.7561,???,"09-07-2015, 1:08 AM",NULL,NULL,NULL,1436372000000
727,729,249,1,1,1,35.71548,139.7841,???,"09-07-2015, 5:05 ??",NULL,NULL,NULL,1436386000000
728,730,250,1,2,2,34.65295,134.5118,????,"09-07-2015, 5:33 ??",NULL,NULL,NULL,1436388000000
729,731,232,1,1,1,33.40591,130.5175,???,"09-07-2015, 5:42 ??",NULL,NULL,NULL,1436388000000
730,732,250,1,1,1,34.65898,134.5156,???,"09-07-2015, 7:11 ??",NULL,NULL,NULL,1436393000000
731,733,250,1,1,1,34.64957,134.5155,???,"09-07-2015, 7:15 ??",NULL,NULL,NULL,1436394000000
732,734,252,1,1,1,39.77195,141.1367,???,"09-07-2015, 7:36 ??",NULL,NULL,NULL,1436395000000
733,735,251,1,2,1,35.91328,139.4779,???,"09-07-2015, 7:19 ??",NULL,NULL,NULL,1436394000000
734,736,251,1,1,1,35.90727,139.4831,???,"09-07-2015, 7:24 ??",NULL,NULL,NULL,1436394000000
735,737,253,1,1,1,34.65208,134.5092,???,"09-07-2015, 7:30 ??",NULL,NULL,NULL,1436395000000
736,738,244,1,2,2,35.57859,139.5942,????,"09-07-2015, 7:44 ??",NULL,NULL,NULL,1436395000000
737,739,226,1,2,2,35.64851,139.7524,????,"09-07-2015, 7:47 ??",NULL,NULL,NULL,1436396000000
738,740,244,1,2,2,35.58105,139.5934,????,"09-07-2015, 7:49 ??",NULL,NULL,NULL,1436396000000
739,741,244,1,2,2,35.58271,139.5925,????,"09-07-2015, 7:53 ??",NULL,NULL,NULL,1436396000000
740,742,248,1,1,2,43.0367,141.3631,????,"09-07-2015, 7:55 ??",NULL,NULL,NULL,1436396000000
741,743,226,1,2,2,35.64889,139.7535,????,"09-07-2015, 7:57 ??",NULL,NULL,NULL,1436396000000
742,744,219,1,1,1,35.76798,139.7892,Feeling HAPPY,"09-07-2015, 7:58 AM",NULL,NULL,NULL,1436396000000
743,745,228,1,2,2,35.71371,139.7043,????,"09-07-2015, 8:20 ??",NULL,NULL,NULL,1436398000000
744,746,244,1,1,1,35.60091,139.6125,???,"09-07-2015, 8:21 ??",NULL,NULL,NULL,1436398000000
745,747,228,1,2,2,35.70032,139.7012,????,"09-07-2015, 8:21 ??",NULL,NULL,NULL,1436398000000
746,748,249,1,2,2,35.716,139.781,????,"09-07-2015, 8:21 ??",NULL,NULL,NULL,1436398000000
747,749,244,1,1,1,35.61152,139.6265,???,"09-07-2015, 8:22 ??",NULL,NULL,NULL,1436398000000
748,750,228,1,2,2,35.69007,139.7012,????,"09-07-2015, 8:22 ??",NULL,NULL,NULL,1436398000000
749,751,244,1,1,1,35.60861,139.6475,???,"09-07-2015, 8:27 ??",NULL,NULL,NULL,1436398000000
750,752,249,1,2,2,35.71412,139.7782,????,"09-07-2015, 8:28 ??",NULL,NULL,NULL,1436398000000
751,753,230,1,1,1,35.72815,139.818,???,"09-07-2015, 8:29 AM",NULL,NULL,NULL,1436398000000
752,754,249,1,2,1,35.71316,139.7767,???,"09-07-2015, 8:31 ??",NULL,NULL,NULL,1436398000000
753,755,243,1,2,2,26.25268,127.7565,????,"09-07-2015, 8:37 ??",NULL,NULL,NULL,1436399000000
754,756,228,1,2,2,35.64968,139.6995,????,"09-07-2015, 8:38 ??",NULL,NULL,NULL,1436399000000
755,757,255,1,1,1,35.64515,139.701,???,"09-07-2015, 8:51 ??",NULL,NULL,NULL,1436399000000
756,758,258,1,3,1,39.85294,141.1106,???,"09-07-2015, 9:05 ??",NULL,NULL,NULL,1436400000000
757,759,239,1,2,2,35.67045,139.7745,????,"09-07-2015, 9:11 ??",NULL,NULL,NULL,1436401000000
758,760,219,1,1,1,35.75156,139.8059,Feeling HAPPY,"09-07-2015, 9:12 AM",NULL,NULL,NULL,1436401000000
759,761,222,1,1,1,35.15115,136.9441,???,"09-07-2015, 9:32 ??",NULL,NULL,NULL,1436402000000
760,762,249,1,1,1,35.67637,139.7623,???,"09-07-2015, 9:33 ??",NULL,NULL,NULL,1436402000000
