row.names,id,user_id,context_id,gesture_id,gesture_confirmation_id,latitude,longitude,title,snippet,country,city,locality,timestamp,date
238,238,102,1,2,2,35.65128,140.0413,????,"19-06-2015, 11:47 ??",NULL,NULL,NULL,1434725000000,2015-06-19
239,239,105,1,1,1,35.768,139.7892,???,"20-06-2015, 12:22 ??",NULL,NULL,NULL,1434727000000,2015-06-19
242,242,110,1,1,2,43.06012,141.5069,????,"20-06-2015, 4:57 ??",NULL,NULL,NULL,1434744000000,2015-06-19
244,244,113,1,1,2,34.55444,132.8634,????,"20-06-2015, 6:03 ??",NULL,NULL,NULL,1434748000000,2015-06-19
246,246,115,1,1,1,35.50375,139.417,???,"20-06-2015, 8:33 ??",NULL,NULL,NULL,1434757000000,2015-06-19
247,247,102,1,2,2,35.64976,140.0417,????,"20-06-2015, 8:34 ??",NULL,NULL,NULL,1434757000000,2015-06-19
248,248,102,1,1,1,35.65376,140.0446,???,"20-06-2015, 8:38 ??",NULL,NULL,NULL,1434757000000,2015-06-19
251,251,110,1,1,2,43.09037,141.5319,????,"20-06-2015, 9:47 ??",NULL,NULL,NULL,1434761000000,2015-06-20
252,252,115,1,2,2,35.4993,139.4083,????,"20-06-2015, 9:49 ??",NULL,NULL,NULL,1434761000000,2015-06-20
253,253,110,1,2,2,43.09056,141.5294,????,"20-06-2015, 10:03 ??",NULL,NULL,NULL,1434762000000,2015-06-20
254,254,118,1,2,2,35.47917,139.4038,????,"20-06-2015, 10:10 ??",NULL,NULL,NULL,1434763000000,2015-06-20
257,257,123,1,2,2,34.38586,132.4421,????,"20-06-2015, 10:48 ??",NULL,NULL,NULL,1434765000000,2015-06-20
258,258,123,1,1,1,34.38764,132.4381,???,"20-06-2015, 10:51 ??",NULL,NULL,NULL,1434765000000,2015-06-20
259,259,123,1,1,1,34.38764,132.4381,???,"20-06-2015, 10:51 ??",NULL,NULL,NULL,1434765000000,2015-06-20
260,260,123,1,2,2,34.38939,132.4262,????,"20-06-2015, 10:53 ??",NULL,NULL,NULL,1434765000000,2015-06-20
263,263,105,1,2,1,35.76908,139.7895,???,"20-06-2015, 11:52 ??",NULL,NULL,NULL,1434769000000,2015-06-20
264,264,105,1,1,1,35.76797,139.7892,???,"20-06-2015, 12:22 ??",NULL,NULL,NULL,1434771000000,2015-06-20
265,265,125,1,1,1,34.96823,136.9058,???,"20-06-2015, 12:42 ??",NULL,NULL,NULL,1434772000000,2015-06-20
266,266,102,1,2,2,35.64286,140.052,????,"20-06-2015, 12:45 ??",NULL,NULL,NULL,1434772000000,2015-06-20
267,267,126,1,3,3,34.71109,135.5114,?????,"20-06-2015, 12:47 ??",NULL,NULL,NULL,1434772000000,2015-06-20
268,268,102,1,2,2,35.65748,140.053,????,"20-06-2015, 12:54 ??",NULL,NULL,NULL,1434772000000,2015-06-20
269,269,113,1,1,1,34.39372,132.501,???,"20-06-2015, 1:38 ??",NULL,NULL,NULL,1434775000000,2015-06-20
270,270,115,1,1,1,35.48837,139.4004,???,"20-06-2015, 1:55 ??",NULL,NULL,NULL,1434776000000,2015-06-20
271,271,104,1,2,2,36.46266,136.4717,????,"20-06-2015, 2:05 ??",NULL,NULL,NULL,1434777000000,2015-06-20
275,275,131,1,2,2,37.89289,139.0018,????,"20-06-2015, 3:14 ??",NULL,NULL,NULL,1434781000000,2015-06-20
279,279,110,1,1,1,43.07973,141.5128,???,"20-06-2015, 5:13 ??",NULL,NULL,NULL,1434788000000,2015-06-20
280,280,110,1,1,2,43.06299,141.5025,????,"20-06-2015, 5:18 ??",NULL,NULL,NULL,1434788000000,2015-06-20
281,281,118,1,1,1,35.81418,139.6823,???,"20-06-2015, 5:22 ??",NULL,NULL,NULL,1434789000000,2015-06-20
282,282,118,1,1,1,35.81306,139.6825,???,"20-06-2015, 5:22 ??",NULL,NULL,NULL,1434789000000,2015-06-20
283,283,118,1,1,1,35.8081,139.6831,???,"20-06-2015, 5:24 ??",NULL,NULL,NULL,1434789000000,2015-06-20
284,284,118,1,2,2,35.80536,139.6837,????,"20-06-2015, 5:25 ??",NULL,NULL,NULL,1434789000000,2015-06-20
285,285,118,1,1,1,35.80206,139.6841,???,"20-06-2015, 5:26 ??",NULL,NULL,NULL,1434789000000,2015-06-20
286,286,118,1,2,2,35.79084,139.6852,????,"20-06-2015, 5:28 ??",NULL,NULL,NULL,1434789000000,2015-06-20
287,287,118,1,2,1,35.78947,139.6849,???,"20-06-2015, 5:28 ??",NULL,NULL,NULL,1434789000000,2015-06-20
288,288,118,1,2,2,35.78761,139.685,????,"20-06-2015, 5:28 ??",NULL,NULL,NULL,1434789000000,2015-06-20
289,289,118,1,1,1,35.7826,139.6889,???,"20-06-2015, 5:30 ??",NULL,NULL,NULL,1434789000000,2015-06-20
290,290,118,1,3,1,35.78168,139.6896,???,"20-06-2015, 5:31 ??",NULL,NULL,NULL,1434789000000,2015-06-20
